Date,quater,season,place,trend,trend_rate,subway,subway_rate,land,land_rate
2016-10,16-4,가을,강남,11921.382278026,0.12843518477225044,188898.74193548388,0.1064849510698582,92676,0.07944151950035745
2016-10,16-4,가을,반포,3235.554073181403,0.03485828870664076,91517.29032258065,0.05158961929653491,98194,0.0841715283980545
2016-10,16-4,가을,삼청,5635.6848547348545,0.060716132471502135,59881.6129032258,0.033756130690176876,92852,0.07959238604004477
2016-10,16-4,가을,서촌,2633.491420631476,0.028371957992521166,58978.0,0.03324675103629355,74917,0.06421857132815702
2016-10,16-4,가을,성수,2882.0696557437386,0.031050019211634246,67410.06451612903,0.03800002767656122,72493,0.062140727622463345
2016-10,16-4,가을,신사,7134.191421626698,0.0768603146907014,167131.2258064516,0.09421428761195118,119801,0.10269296773341882
2016-10,16-4,가을,신촌,6356.079305470817,0.06847731252859345,151218.70967741936,0.08524417227906535,26819,0.022989146181104994
2016-10,16-4,가을,연남,5934.0285505992815,0.06393034260337693,8892.032258064517,0.005012567104523079,52040,0.0446084927575489
2016-10,16-4,가을,을지로,1958.4838359056837,0.021099753994271143,266245.1935483871,0.15008626376806633,21140,0.01812112868744396
2016-10,16-4,가을,이태원,10451.802862118373,0.11260264963347748,56919.32258064516,0.03208624481998697,85095,0.0729431147425754
2016-10,16-4,가을,익선,7231.802583497457,0.07791192995798572,169342.93548387097,0.09546106032397468,25014,0.021441906953061647
2016-10,16-4,가을,장충,1085.3779246534218,0.011693334803761246,100951.58064516129,0.05690786510953216,58462,0.05011340706363997
2016-10,16-4,가을,청담,2143.91569746331,0.023097506842589308,86178.51612903226,0.04858007511986069,124518,0.1067363624362889
2016-10,16-4,가을,한남,2356.7200635987774,0.02539015776574015,29998.967741935485,0.016910851705075287,74731,0.06405913282598745
2016-10,16-4,가을,혜화,6846.343690095074,0.07375918298270462,89852.70967741935,0.05065127112790405,56115,0.048101567469059504
2016-10,16-4,가을,홍대,15013.293119709853,0.16174593104224974,180530.87096774194,0.10176786126063535,91727,0.07862804026079338
2016-11,16-4,가을,강남,14165.50807553677,0.14867631372145507,197812.5,0.10560464152719647,92769,0.07920018645582816
2016-11,16-4,가을,반포,3196.4084529809616,0.03354840669343945,121699.4,0.06497072485851446,99315,0.08478873888756559
2016-11,16-4,가을,삼청,4004.9092466353104,0.042034153692446716,62222.6,0.033218302017770034,92852,0.07927104650041022
2016-11,16-4,가을,서촌,2403.0509950665614,0.025221598951905767,63321.9,0.033805176873660574,74917,0.06395930072234558
2016-11,16-4,가을,성수,2474.157550203395,0.025967908963717697,69985.3,0.0373625151022979,73556,0.06279736673829507
2016-11,16-4,가을,신사,7623.974336587509,0.08001861946825053,173029.56666666668,0.09237396707204791,120328,0.10272828246350495
2016-11,16-4,가을,신촌,6732.052685065295,0.07065731576000708,157908.23333333334,0.0843012568738556,26819,0.022896331754776438
2016-11,16-4,가을,연남,5438.382214674038,0.05707939425641959,8975.133333333333,0.004791485564994419,52519,0.044837333510910314
2016-11,16-4,가을,을지로,2084.896553707934,0.02188235906844559,286944.63333333336,0.15318892962436398,21140,0.018047967981504674
2016-11,16-4,가을,이태원,10281.289729140872,0.10790889031864109,50706.833333333336,0.027070468029805818,85153,0.07269813706381588
2016-11,16-4,가을,익선,6718.40540795912,0.07051407862077694,180859.23333333334,0.09655393113706287,25014,0.021355339218985712
2016-11,16-4,가을,장충,1082.5817109272145,0.011362406291722447,104463.26666666666,0.05576900261152993,58784,0.050185986273641
2016-11,16-4,가을,청담,2323.2582393370158,0.024384121558205164,91169.53333333334,0.048671979201862656,124796,0.10654277257426005
2016-11,16-4,가을,한남,2441.1733272133247,0.025621717873431347,30308.133333333335,0.01618037058338144,74836,0.06389014814871731
2016-11,16-4,가을,혜화,7740.914053813163,0.08124597862769818,93670.73333333334,0.05000727565374423,56115,0.04790736628581527
2016-11,16-4,가을,홍대,16566.541422736023,0.17387673613343727,180065.1,0.0961299732679117,92410,0.0788936954196238
2016-12,16-4,겨울,강남,16771.592595454633,0.15050789398196282,205691.7741935484,0.10894621067407677,93026,0.0793024021059559
2016-12,16-4,겨울,반포,3844.5723148901866,0.034501105311388364,120978.0,0.06407691667108902,99351,0.08469431074784281
2016-12,16-4,겨울,삼청,3698.6330204338483,0.03319144937186895,59047.6129032258,0.03127501671069716,92852,0.07915407133857436
2016-12,16-4,겨울,서촌,2790.9275061551452,0.02504572054305591,60271.290322580644,0.03192314675113669,74917,0.06386492011450454
