,0,1,2
18,24,1시간 전,"[['개군할머니토종순대국\n', '화양식당\n1시간\ny__je_\n', '건대맛집 ', '건대술집 ', '건대입구맛집 ', '건대맛집추천 ', '화양동맛집 ', '자양동맛집 ', '성수동맛집 ', '성수맛집 ', '양평맛집 ', '양평여행 ', '먹방 ', '먹스타그램 ', '먹팔 ', '먹스타맞팔 ', '국밥 ', '국밥맛집 ', '국밥충 ', '술스타그램 ', '하이볼맛집 ', '술안주 '], '술스타']"
19,8,1시간 전,"[[], '좋아요 8개']"
20,9,1시간 전,"[['한남동맛집 ', '황금동맛집 ', '불로동맛집 ', '삼성동맛집 ', '해운대술집 ', '수성못브런치 ', '서울숲맛집 ', '아난티 ', '해운대맛집 ', '앞산카페 ', '센텀맛집 ', '도산공원맛집 ', '수성못맛집 ', '센텀신세계 ', '대구신세계 ', '나인원한남 ', '시그니엘부산 ', '파라다이스호텔 ', '해운대맛집 ', '파크하얏트부산 ', '청담보메 ', '삼산동맛집 ', '성수동맛집 ', '대구맛집 ', '서울신라호텔 ', '한남동브런치 ', '아난티코브 '], '청담동맛집']"
21,51,1시간 전,"[['출근전거울셀카필수 ', '백지현_짱\n1시간\nbbaek_jj2\n', '서울숲 ', '서울숲맛집 ', '서울숲카페 ', '성수동카페 ', '성수동맛집 ', '뚝섬역 ', '뚝섬역맛집 '], '뚝섬역카페']"
22,3,1시간 전,"[[], '좋아요 3개']"
23,97,1시간 전,"[['강남역맛집', 'samsungri', '성수동맛집\n', '성수동루프탑', '에스팩토리', '칵테일바', 'Cocktailbar', '싱글몰트 ', 'SingleMalt ', 'Whisky', '코엑스맛집\n', '몰트위스키 ', 'Maltwhisky ', 'Maltbar\n', '코엑스 ', '바 ', 'Bar', '가로수길맛집 ', '파복스 ', 'Pavox', '혼술 ', '혼밥 ', '강남역칵테일바', '신사동칵테일바', '해운대칵테일바', '신사파복스 ', '강남파복스 ', '해운대파복스', '삼성리'], '코로나19']"
24,7,1시간 전,"[[], '좋아요 7개']"
25,16,1시간 전,"[['성수 ', '커피라이크 ', '그린티라떼 ', '녹차라떼 ', '메뉴추천 ', '카페 ', '디저트 ', '오늘뭐먹지 ', '성수카페 ', '성수동카페 ', '성수동맛집 ', '맛집 ', '맛집스타그램 ', '먹스타그램 ', '카페스타그램 ', '선팔맞팔 ', '일상 ', '소통 ', '좋아요 ', 'daily ', 'likeforlike ', 'likeforfollow ', 'like4like ', 'likes ', 'instalike ', 'instagood ', 'instafood ', 'cafe ', 'dessert '], 'greentealatte']"
26,19,1시간 전,"[['woodybarbershop', 'barbershop', 'wahl', '오오티디', '첫줄', '일상', '서울숲데이트', '성수동맛집', '남자머리스타일', '오늘뭐입지', '후지필름', 'dailylook', 'shaving', '남자머리', '우디바버샵', '남자미용실', '포마드추천', '성수동', '바버샵', '리젠트컷', '성수동바버샵', '성수동데이트', '서울숲데이트', '아이비리그컷', '파일컷', '우디컷', '왕십리바버샵', '크롭컷', '가일컷'], '슬릭백']"
27,0,5시간 전,"[[], '__zozae']"
28,66,4일 전,"[[], '좋아요 66개']"
29,3,1시간 전,"[['사위식당\n', '낙곱새', '성수동맛집 ', '성수동 ', '서울숲맛집 ', '서울숲 ', '데일리 ', 'jmt', '성수역맛집', '성수맛집 ', '성수동카페 ', '맛점 ', '맛저 ', '성수동핫플레이스', 'seoul ', '성수동데이트 ', '건대맛집 ', '일상 ', '포장 ', '갬성 ', '성수동카페거리 '], '성수동맛집사위식당']"
30,161,1시간 전,"[['고집132성수본점 ', '성수동맛집고집132 ', '성수동맛집 ', '성수맛집 ', '뚝섬맛집 ', '서울숲맛집 ', '한양대맛집 ', '성수동핫플레이스 ', '성수동데이트 ', '성수동술집 ', '성수동밥집 ', '성수동고기집 '], '고집132']"
31,23,1시간 전,"[['마리오네 ', '카푸토\n', '나폴리피자 ', '성수맛집\n', '성수동맛집 ', '서울숲맛집\n', 'caputo '], 'forzanapolisempre']"
32,20,1시간 전,"[[], '반하다커넥트🦐']"
33,0,1시간 전,"[['구의맛집 ', '구의동맛집 ', '광진구맛집 ', '성수맛집 ', '성수동맛집 ', '강변맛집 ', '배민맛집 '], '아쿠슈']"
34,41,1시간 전,"[[], '좋아요 41개']"
35,4,1시간 전,"[['서울의밤\n보글보글 ', '즉석떡볶이\n조합 추천드립니다!\n\n서울의 밤이 도수가 있다보니\n매콤한 떡볶이랑 잘 어울리는거 같아요~\n\n떡볶이가 안 땡기신다면\n', '나가사끼짬뽕, '], '꼬치어묵탕 은']"
36,56,1시간 전,"[['에이투비', '성수동카페'], '성수동']"
37,343,1시간 전,"[[], '좋아요 343개']"
38,160,1시간 전,"[['고집132성수본점 ', '성수동맛집고집132 ', '성수동맛집 ', '성수맛집 ', '뚝섬맛집 ', '서울숲맛집 ', '한양대맛집 ', '성수동핫플레이스 ', '성수동데이트 ', '성수동술집 ', '성수동밥집 ', '성수동고기집 '], '고집132']"
39,8,1시간 전,"[[], '좋아요 8개']"
40,56,1시간 전,"[['성수동카페', '성수동맛집', '성수동핫플', '성수동맘', '성수동체험전시', '성수동데이트코스', '서울숲전시', '섬세이테라리움', '자유부인', '자부타임', '여름쿨톤코디', '젊줌마', '바이크팬츠', '자켓코디', '가을코디', '원숭이띠맘', '육아소통환영', '수요일', '나는솔로'], '하는날💕']"
41,11,2시간 전,"[[], '글로우바이어스']"
42,0,2시간 전,"[['라피네', '반영구눈썹', '반영구화장', '반영구아이라인', '남자눈썹', '남자눈썹전문', '남자반영구', '남자눈썹문신', '반영구잘하는곳', '속눈썹펌잘하는곳', '속눈썹펌', '성수동속눈썹', '성수동반영구', '연예인눈썹', '강남반영구', '자연눈썹', '아치형눈썹', '성수동속눈썹', '성수동핫플레이스', '눈썹맛집', '눈썹문신잘하는곳', '반영구화장', '건대반영구', '뚝섬반영구', '성수반영구', '서울숲', '성수동맛집', '남자눈썹잘하는곳', '건대속눈썹', '남자눈썹잘하는곳'], '남자눈썹전문샵']"
43,0,2시간 전,"[[], 'euzin0423']"
44,995,2시간 전,"[[], '좋아요 995개']"
45,18,2시간 전,"[['성수프롤라 에서 ~~~\n다정한샷..ㅋ\n\n원래는 그다음 일정은\n가구갤러리 구경하려고 했지만\n말싸움 붙어서 ^^바로 집으로 gogo\n근데 빵먹다가 화해,,,,🤗\n', '부부싸움 ', '빵으로 ', '해결\n😀.. 오늘 그냥 빵먹고 끝…\n', '이제육아하러가자 하루끝\n', '성수동카페 ', '성수동맛집 ', '성수카페\n'], 'dailylook']"
46,9,2시간 전,"[['건대필라테스 ', '건대입구필라테스 ', '군자필라테스 ', '성수필라테스 ', '구의필라테스 ', '세종대필라테스 ', '이브필라테스 ', '뚝섬필라테스 ', '필라테스 ', '필라테스그램 ', '건대맛집 ', '건대카페 ', '성수동카페 ', '성수동맛집 ', '운동하는여자 ', '운동하는남자 ', '운동스타그램 ', '몸매스타그램 ', '몸스타그램 ', '몸만들기 ', '다이어트 ', '재활운동 ', '자세교정 ', '체형교정 ', '재활전문필라테스 ', '맨즈필라테스 ', '普拉提 ', '留学生 ', '韩国 '], '美女']"
47,30,2시간 전,"[[], '좋아요 30개']"
48,18,2시간 전,"[[], '바이마이미']"
49,2,2시간 전,"[['인스타마케팅 ', '인스타홍보 ', '인스타광고 ', '인기게시물\n', '인스타그램마케팅 ', '인스타그램홍보\n\n', '중문왁싱 ', '성수동맛집 ', '단발 ', '원피스 ', '메종마르지엘라백 ', '구찌크로스백 ', '버버리신상 ', '프라다신상 ', '봉선동카페 ', '동아대반영구 ', '디퀘청바지 ', '증평맛집 ', '청주미용실 ', '주례왁싱 ', '남해카페 ', '성내동카페 '], '구로타투']"
50,59,2시간 전,"[[], '좋아요 59개']"
51,159,2시간 전,"[['성수맛집 ', '화화담\n이런곳은 부모님 모시고 와도 되겠다. 정말 맛있다!\n,\n,\n,\n,\n,\n,\n', '화화담성수', '성수동맛집', '뚝섬역맛집', '성수역맛집추천', '성수맛집화화담', '성수역맛집', '서울숲맛집', '서울숲데이트', '갓성비'], '성수스테이크']"
52,0,2시간 전,"[['성수맛집 ', '성수동맛집 ', '성수역맛집 ', '성수동데이트 ', '성수동핫플추천 ', '성수맛집추천 ', '성수데이트 ', '성수동술집 ', '낙곱새 ', '서울숲맛집 ', '뚝섬맛집 ', '건대맛집 '], '쭈꾸미도사']"
53,4,2시간 전,"[['한남동맛집 ', '황금동맛집 ', '불로동맛집 ', '삼성동맛집 ', '해운대술집 ', '수성못브런치 ', '서울숲맛집 ', '아난티 ', '해운대맛집 ', '앞산카페 ', '센텀맛집 ', '도산공원맛집 ', '수성못맛집 ', '센텀신세계 ', '대구신세계 ', '나인원한남 ', '시그니엘부산 ', '파라다이스호텔 ', '해운대맛집 ', '파크하얏트부산 ', '청담보메 ', '삼산동맛집 ', '성수동맛집 ', '대구맛집 ', '서울신라호텔 ', '한남동브런치 ', '아난티코브 '], '청담동맛집']"
54,3,2시간 전,"[['한남동맛집 ', '황금동맛집 ', '불로동맛집 ', '삼성동맛집 ', '해운대술집 ', '수성못브런치 ', '서울숲맛집 ', '아난티 ', '해운대맛집 ', '앞산카페 ', '센텀맛집 ', '도산공원맛집 ', '수성못맛집 ', '센텀신세계 ', '대구신세계 ', '나인원한남 ', '시그니엘부산 ', '파라다이스호텔 ', '해운대맛집 ', '파크하얏트부산 ', '청담보메 ', '삼산동맛집 ', '성수동맛집 ', '대구맛집 ', '서울신라호텔 ', '한남동브런치 ', '아난티코브 '], '청담동맛집']"
55,4,2시간 전,"[['한남동맛집 ', '황금동맛집 ', '불로동맛집 ', '삼성동맛집 ', '해운대술집 ', '수성못브런치 ', '서울숲맛집 ', '아난티 ', '해운대맛집 ', '앞산카페 ', '센텀맛집 ', '도산공원맛집 ', '수성못맛집 ', '센텀신세계 ', '대구신세계 ', '나인원한남 ', '시그니엘부산 ', '파라다이스호텔 ', '해운대맛집 ', '파크하얏트부산 ', '청담보메 ', '삼산동맛집 ', '성수동맛집 ', '대구맛집 ', '서울신라호텔 ', '한남동브런치 ', '아난티코브 '], '청담동맛집']"
56,2,2시간 전,"[['한남동맛집 ', '황금동맛집 ', '불로동맛집 ', '삼성동맛집 ', '해운대술집 ', '수성못브런치 ', '서울숲맛집 ', '아난티 ', '해운대맛집 ', '앞산카페 ', '센텀맛집 ', '도산공원맛집 ', '수성못맛집 ', '센텀신세계 ', '대구신세계 ', '나인원한남 ', '시그니엘부산 ', '파라다이스호텔 ', '해운대맛집 ', '파크하얏트부산 ', '청담보메 ', '삼산동맛집 ', '성수동맛집 ', '대구맛집 ', '서울신라호텔 ', '한남동브런치 ', '아난티코브 '], '청담동맛집']"
57,2,2시간 전,"[['사위식당\n.\n.\n', '낙곱새', '성수동맛집 ', '성수동 ', '서울숲맛집 ', '서울숲 ', '데일리 ', 'jmt', '성수역맛집', '성수맛집 ', '성수동카페 ', '맛점 ', '맛저 ', '성수동핫플레이스', 'seoul ', '성수동데이트 ', '건대맛집 ', '일상 ', '포장 ', '갬성 ', '성수동카페거리 '], '성수동맛집사위식당']"
58,18,18시간 전,"[['나들이용풀메이크업ㅋㅋ\n', '눈가주름🙀🙀\n', '매직', '미용실다녀온보람있음😏😏\n', '진짜곧30중반이구나\n', '피부급노화\n', '애들없으니화이트원피스\n', '언제옷다시입냐\n', '성수동맛집', '성수동카페'], '맛집투어']"
59,21,2시간 전,"[['나는먹기위해산다\n아니진짜 ', '너무맛있다\n', '찐이다찐 ', '돌문어는 ', '미쳤다 ㅋ\n\n', '성수동맛집 ', '성수난포\n', '퓨전한식 ', '돌문어간장국수\n', '새우감자전 '], '강된장쌈밥']"
60,160,2시간 전,"[['고집132성수본점 ', '성수동맛집고집132 ', '성수동맛집 ', '성수맛집 ', '뚝섬맛집 ', '서울숲맛집 ', '한양대맛집 ', '성수동핫플레이스 ', '성수동데이트 ', '성수동술집 ', '성수동밥집 ', '성수동고기집 '], '고집132']"
61,0,2시간 전,"[[], '가장 먼저 ']"
62,17,2시간 전,"[['히히하 ', 'hihiha ', '리빙편집샵 ', 'HDD ', '성수동맛집 '], '성수동피자']"
63,26,2시간 전,"[[], '좋아요 26개']"
64,6,2시간 전,"[['꾸아 ', 'QUA @qua__official\n', '서울숲맛집 ', '성수동맛집 ', '쌀국수 ', '일상 ', '일상스타그램 ', 'food ', 'yum ', 'yummy ', '맛스타그램 ', 'inspiration ', '메종인스타클럽 ', 'instagood ', 'instadaily ', 'instalike ', '데일리그램 '], 'jyun_맛집']"
65,1,2시간 전,"[['고집132성수본점\n.\n.\n.\n', '성수동맛집고집132 ', '성수동맛집 ', '성수맛집 ', '뚝섬맛집 ', '서울숲맛집 ', '한양대맛집 ', '성수동핫플레이스 ', '성수동데이트 ', '성수동술집 ', '성수동밥집 ', '성수동고기집 '], '고집132']"
66,152,2시간 전,"[['권식족발', '성수동맛집', '뚝섬맛집', '성수맛집', '성수족발', '성수동족발', '먹팔', '먹스타맞팔환영 ', '성수동매운족발 ', '성수역데이트 ', '서울숲데이트 ', '성수동배달맛집 '], '서울숲']"
67,0,2시간 전,"[['서촌김씨뜨라또리아 ', '서촌맛집 '], '@seochoncheflee']"
68,131,2시간 전,"[['직화삼곱\n매콤한소스와 불맛 덕분인지 이게 자꾸만 손이가요~ 손이가~\n거의 새우깡인줄요,,, 진짜 살이 너무 부드럽고 이에 박히는 느낌도 안나서 진짜 좋아 좋아요!!!\n오늘 퇴근 후 술 생각있으시면 가보세요!! 리얼 강추!!!\n고기가 좋아야 음식이 좋다는걸 보여주는 곳!!!\n\n', '성수동맛집 ', '성수맛집 ', '성수핫플 ', '성수밥집 ', '성수고기집 ', '성수데이트코스 ', '성수술집 ', '성수데이트 ', '성수뼈구이 '], '직화삼곱']"
69,2,2시간 전,"[['성수동맛집 에서 둔둔한 한끼💪\n메인 고기메뉴도 대박! 사이드메뉴도 대박!!\n한상 가득 최고였어요👍\n', '고집132성수본점\n.\n.\n.\n', '성수동맛집고집132 ', '성수동맛집 ', '성수맛집 ', '뚝섬맛집 ', '서울숲맛집 ', '한양대맛집 ', '성수동핫플레이스 ', '성수동데이트 ', '성수동술집 ', '성수동밥집 ', '성수동고기집 '], '고집132']"
70,138,2시간 전,"[['무식당', '성수맛집', '성수동맛집', '뚝섬역맛집', '서울숲맛집', '먹팔', '성동구맛집 ', '안창살 ', '서울숲핫플 ', '성동구고기 ', '성수동한우 ', '성수고기맛집 '], '성수동핫플']"
71,226,2시간 전,"[['협찬 ', '파머스카페\n\n성수동에서 샌드위치와 초코우유가 넘 맛있는 곳〰️📌\n파머스 카페에 다녀왔어요😊\n\n🔹반반 샌드위치 (7,500)\n🔹아메리카노 (4,500)\n🔹오렌지주스 (5,000)\n🔹벨지안 초콜릿 보틀 (9,000)\n\n계란과 양배추/아보카도와 닭가슴살로 구성 되어 한끼식사로 든든한 반반 샌드위치와\n아메리카노와 쌍콤한 오렌지 주스가 정말정말 잘 어울리더라구요👍\n\n아보카도와 닭가슴살 양배추 계란 구성은\n칼로리도 높지 않아서 더욱 안심,,!!\n맛도 있으니 요기 가면 요 반반 샌드위치는 필수겠어요\U0001f90d\n\n다먹고 갈때 주셨던 벨지안 초코우유는 와,,\n세상 쪼꼬덕후인 우뉴의 눈을 크게 뜨게 한 진한 맛,,!!👀\n\n일반 초코우유 맛이 아니랍니다 .....\n엄청 진하구 달달한게 또 먹구 싶더라구욥,,,ㅠ\n\n고양이도 넘넘 애교많고 귀여운💓\n분위기도 짱짱 좋은 게 맥주 한잔 하기에도 넘 좋을 것 같아요💙\n\n📍파머스카페\n📍서울 성동구 왕십리로6길 11 1층\n\n', '성수동맛집 ', '성수동맛집 ', '성수카페 ', '성수동핫플레이스 '], '샌드위치맛집']"
72,159,2시간 전,"[['화화담성수 대박추천!!\n.\n.\n.\n', '성수맛집', '화화담', '주말데이트', '성수동맛집추천\n', '성동구맛집', '성수맛집화화담', '성수동맛집', '성수데이트', '아이와함께'], '특별한날데이트']"
73,13,2시간 전,"[[], '좋아요 13개']"
74,95,2시간 전,"[[], '좋아요 95개']"
75,3,2시간 전,"[[], '좋아요 3개']"
76,0,3시간 전,"[[], 'princess__5678__']"
77,0,이 게시물에 대한 댓글 기능이 제한되었습니다.,"[['카페 ', '카페스타그램 ', '서울숲 ', '서울숲카페 ', '성수동카페 ', '성수동맛집 ', '성수카페 ', '성수동핫플레이스 ', '녹차 ', '테린느 ', '크로플 ', '크로플맛집 ', '성수동 ', '먹스타그램 ', '먹스타 ', '먹스타맞팔 ', '좋아요반사 ', '팔로우 ', 'cafe ', 'fff ', 'f4f ', 'followforfollowback ', 'foodstagram '], 'foodblogger']"
78,0,3시간 전,"[['성수맛집 ', '성수동맛집 ', '성수역맛집 ', '성수동데이트 ', '성수동핫플추천 ', '성수맛집추천 ', '성수데이트 ', '성수동술집 ', '서울숲맛집 ', '뚝섬맛집 ', '건대맛집 ', '낙곱새 '], '쭈꾸미도사']"
79,2,3시간 전,"[['고집132성수본점\n.\n.\n.\n', '성수동맛집고집132 ', '성수동맛집 ', '성수맛집 ', '뚝섬맛집 ', '서울숲맛집 ', '한양대맛집 ', '성수동핫플레이스 ', '성수동데이트 ', '성수동술집 ', '성수동밥집 ', '성수동고기집 '], '고집132']"
80,16,3시간 전,"[[""금금\n.\n.\n성수다락 골목의 '엑셀시오르' 매장이 빠지고 새로이 입점한 일본라멘전문점 금금. 성수동 '이오로비스트로'와 연관이 있다던데 일관성있게 재패니즈 스타일로 영역확장을 꾀하나보다.\n개인적으로 일본라멘의 느끼함을 선호하지는 않지만 신생업장이니 업무의 일부같은 느낌으로 방문했다. 키오스크로 주문 후 대기하면 자리나는 시간에 맞춰 조리해준다. 국물은 일반적인 일본라멘보다 덜 느끼하게 셋팅되어 있고 면의 양은 많지도 적지도 않게 적당했다. 라멘에 올려진 차슈는 잡내 없이 깔끔했으나 좀 두툼하게 컷팅되어 식감이 조금 조화롭지 못했다.\n.\n.\n서울 성동구 성수이로12길 11, 1층\n070-4159-4477\n.\n.\n청라멘(돈코츠) - 9,000원\n.\n.\n"", '성수동밥집 ', '성수동맛집 ', '금금 ', '성수동금금 ', '성수동일본라멘 ', '청라멘 ', '성수동상가 ', '성수동부동산 ', '성수동바른부동산 '], '공인중개사']"
81,2,3시간 전,"[['사위식당\n.\n.\n', '낙곱새', '성수동맛집 ', '성수동 ', '서울숲맛집 ', '서울숲 ', '데일리 ', 'jmt', '성수역맛집', '성수맛집 ', '성수동카페 ', '맛점 ', '맛저 ', '성수동핫플레이스', 'seoul ', '성수동데이트 ', '건대맛집 ', '일상 ', '포장 ', '갬성 ', '성수동카페거리 '], '성수동맛집사위식당']"
82,12,3시간 전,"[['선팔맞팔환영', '소통스타그램', '일상기록', '소통', '일상소통', '맞팔환영', '소통하자', '선팔은맞팔', '소통해요우리', '맞팔', '맞팔해요우리', '맞팔가요', '소통환영', '일상그램', '맞팔해요', '선팔맞팔', '일상사진', '맞팔환영해요', '맞팔소통', '소통해요', '맞팔100', '일상생활', '맞팔댓', '맞팔해여', '댓글소통', '맞팔하자', '소소한행복', '대전틴팅', '빌리프'], '성수동맛집']"
83,9,3시간 전,"[[], '좋아요 9개']"
84,162,3시간 전,"[['화화담 ', '성수핫플\n성수동에서 그렇게 맛있다고들 해서 먹어보고 왔습니다.\n와우~ 데이트나 소개팅 장소 음식은 사진에서 보이는 것보다 더 맛있음\n가격도 저렴해서 자주 갈거 같네요..\n.\n.\n.\n.\n.\n', '성수역스테이크', '성수동맛집', '뚝섬역스테이크', '성수직장인맛집', '성수맛집', '성수맛집화화담', '성수동데이트', '화화담성수'], '성수동핫플레이스']"
85,127,3시간 전,"[['안녕베트남\n이쁘기만 한게 아니라 음식도 개꿀맛bb\n베트남 현지에서 먹는듯한 ', '반쎄오\n구운야채와 버터향 가득 소고기까지 ', '보느엉 JMT\n샤로수길로 베트남 여행가자\n\n', '샤로수길\n', '샤로수길맛집\n', '서울대입구역맛집\n', '신림역맛집\n', '반쎄오맛집\n', '쌀국수맛집\n', '분짜맛집\n'], '성수동맛집']"
86,131,3시간 전,"[['안녕베트남 쌀국수, 분짜, 반쎄오 조합 너무 맛있잖아\n오늘도 내일도 계속 갈래!!\n\n', '샤로수길\n', '샤로수길맛집\n', '서울대입구역맛집\n', '신림역맛집\n', '반쎄오맛집\n', '쌀국수맛집\n', '분짜맛집\n'], '성수동맛집']"
87,0,3시간 전,"[['뇨끼 ', '릴레이\n', '분위기맛집 '], '서울데이트']"
88,0,4시간 전,"[[], 'jangnongsok']"
89,44,3시간 전,"[['유어네이키드치즈\n', '성수동맛집\n', '서울숲맛집\n', '뚝썸맛집\n', '일상그램\n'], '일상기록✍🏻']"
90,1,3시간 전,"[['성수동핫플 맞나봐요💓💓\n맛있는 고기를 알아서 다 구워주시니 편히 먹기 좋아요🤟\n저는 웨이팅 피하려고 일부러 좀 일찍 방문하기도 해요😉\n', '고집132성수본점 ', '성수동맛집고집132 ', '성수동맛집 ', '성수맛집 ', '뚝섬맛집 ', '서울숲맛집 ', '한양대맛집 ', '성수동핫플레이스 ', '성수동데이트 ', '성수동술집 ', '성수동밥집 ', '성수동고기집 '], '고집132']"
